Country_order,Total_cases,New_cases,Total_Detaths,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Test_1M_pop,Population
Gambia,11995,,365,,11591,,39,,4720,144,155686,61260,2541378
Greenland,11971,,21,,2761,,9189,4,210198,369,164926,2895928,56951
Monaco,11917,19,54,,11715,23,148,4,299776,1358,54960,1382537,39753
Yemen,11819,,2149,,9009,,661,23,381,69,265253,8547,31032824
Tonga,10765,61,11,,9609,354,1145,,99771,102,502224,4654661,107897
Saint Martin,10537,,63,,1399,,9075,7,264231,1580,112382,2818145,39878
Samoa,10210,,20,,1605,,8585,4,50837,100,73313,365037,200837
Sint Maarten,10065,,86,,9913,,66,10,229947,1965,62056,1417742,43771
Caribbean Netherlands,9804,,34,,9714,,56,,367590,1275,30126,1129541,26671
Eritrea,9735,,103,,9631,,1,,2677,28,23693,6515,3636621
Niger,8957,,309,,8550,,98,1,347,12,250880,9718,25815793
Guinea-Bissau,8213,,171,,7530,,512,6,4000,83,135069,65777,2053452
Comoros,8100,,160,,7933,,7,,8964,177,,,903635
Vanuatu,7734,18,14,,7443,181,277,,24144,44,24976,77969,320331
Sierra Leone,7682,1,125,,,,,,928,15,259958,31415,8275032
Antigua and Barbuda,7663,,137,,7471,,55,1,77078,1378,18901,190115,99419
Liberia,7434,,294,,5747,,1393,2,1409,56,139824,26502,5276068
Chad,7412,,193,,4874,,2345,,429,11,191341,11066,17291623
St. Vincent Grenadines,6787,,106,,6641,,40,,60822,950,98958,886816,111588
British Virgin Islands,6355,,62,,,,,1,207673,2026,103049,3367504,30601
Turks and Caicos,5995,,36,,5918,,41,4,151084,907,497269,12531981,39680
Sao Tome and Principe,5964,,73,,5884,,7,,26315,322,29036,128117,226637
Saint Kitts and Nevis,5570,,43,,5519,,8,,103357,798,70707,1312037,53891
Cook Islands,5246,,1,,5030,,215,,298170,57,17038,968398,17594
Palau,4690,,6,,4043,,641,1,256958,329,46722,2559829,18252
St. Barth,4575,,6,,,,,,460632,604,78646,7918445,9932
Kiribati,3089,,13,,2601,,475,3,25151,106,,,122817
Anguilla,2788,,9,,2766,,13,4,182832,590,51382,3369532,15249
Saint Pierre Miquelon,2727,,1,,2449,,277,1,474922,174,23545,4100488,5742
Diamond Princess,712,,13,,699,,0,,,,,,
Wallis and Futuna,454,,7,,438,,9,,41739,644,20508,1885446,10877
